,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,coded_geo,price
27,3,1,0.03,12,365,0,0,1,0,0,0,1,0,135.2,649
28,1,7,0.95,1,0,0,0,1,0,0,1,0,0,144.85714285714286,150
29,2,5,0.43,1,0,0,0,1,0,0,1,0,0,100.0,400
30,1,1,0.02,1,0,0,0,1,0,0,0,1,0,132.66666666666666,120
31,4,42,2.46,1,242,0,0,1,0,0,0,1,0,345.8333333333333,159
32,1,0,0.0,1,0,0,0,1,0,0,0,1,0,194.88888888888889,76
33,10,1,0.05,1,0,0,1,0,0,0,0,1,0,96.33333333333333,37
34,30,1,0.28,103,247,0,0,0,1,0,0,1,0,125.0,40
35,1,26,3.45,1,115,0,0,0,1,0,0,1,0,170.55555555555554,75
36,3,7,0.08,1,270,0,1,0,0,0,1,0,0,224.7,145
37,30,3,0.36,6,321,1,0,0,0,0,0,1,0,85.0,40
38,3,19,0.73,1,34,0,0,1,0,0,1,0,0,140.84615384615384,110
39,1,0,0.0,1,0,0,0,1,0,0,1,0,0,108.9090909090909,115
40,3,44,2.33,1,52,0,1,0,0,0,1,0,0,141.07947981342477,250
41,5,47,1.53,2,91,0,1,0,0,0,1,0,0,95.0,115
42,30,0,0.0,96,0,0,0,1,0,0,1,0,0,67.5,290
43,1,8,0.15,1,0,0,0,1,0,0,1,0,0,103.57142857142857,125
44,30,0,0.0,121,184,0,0,1,0,0,1,0,0,265.25,229
45,30,1,0.05,87,350,0,0,1,0,0,1,0,0,141.07947981342477,163
46,1,8,0.43,3,0,0,1,0,0,0,0,1,0,73.42857142857143,36
47,3,28,1.0,2,11,0,1,0,0,0,0,1,0,113.0,153
48,4,1,0.02,1,0,0,0,0,1,0,0,1,0,144.54545454545453,50
49,3,1,0.12,1,0,0,1,0,0,0,1,0,0,141.07947981342477,107
50,4,1,0.75,1,0,0,1,0,0,0,0,1,0,181.0,90
51,2,319,3.78,1,112,0,0,1,0,0,1,0,0,196.83333333333334,328
52,1,19,2.5,30,156,0,0,1,0,0,0,1,0,176.42857142857142,107
53,1,9,1.39,2,6,0,1,0,0,0,1,0,0,63.5,160
54,5,1,0.16,1,0,0,1,0,0,0,0,1,0,149.5,45
55,1,12,0.87,1,0,0,0,1,0,0,1,0,0,288.5,130
56,5,1,0.02,1,0,1,0,0,0,0,1,0,0,77.0,145
57,3,32,0.6,1,265,0,1,0,0,0,1,0,0,141.07947981342477,190
58,3,3,0.43,1,85,0,1,0,0,0,1,0,0,188.0,125
59,30,0,0.0,232,219,0,0,1,0,0,1,0,0,51.833333333333336,294
60,5,3,0.27,1,32,0,1,0,0,0,0,1,0,130.0,85
61,1,28,1.22,1,0,0,0,1,0,0,1,0,0,210.33333333333334,116
62,2,6,0.13,1,0,0,0,0,1,0,1,0,0,106.0,139
63,1,20,0.42,2,278,0,0,1,0,0,0,1,0,141.33333333333334,99
64,2,0,0.0,7,177,1,0,0,0,0,0,1,0,61.18181818181818,39
65,1,2,0.23,7,0,0,0,1,0,0,0,1,0,186.5,415
66,1,222,4.56,3,251,0,0,1,0,0,0,1,0,141.07947981342477,99
67,1,29,1.41,1,135,0,1,0,0,0,1,0,0,153.35714285714286,150
68,1,4,1.54,7,358,0,0,1,0,0,0,1,0,93.5,359
69,14,0,0.0,1,0,0,1,0,0,0,0,1,0,138.33333333333334,105
70,30,6,0.91,1,22,0,0,1,0,0,1,0,0,73.63636363636364,175
71,4,0,0.0,2,0,0,1,0,0,0,0,1,0,78.25,135
72,30,5,0.12,2,311,0,1,0,0,0,0,1,0,172.71428571428572,43
73,1,237,2.96,1,0,0,0,1,0,0,1,0,0,41.5,350
74,2,2,0.2,1,0,0,1,0,0,0,1,0,0,77.5,250
75,7,0,0.0,1,0,0,0,1,0,0,1,0,0,221.64705882352942,95
76,3,43,3.57,2,0,0,1,0,0,0,0,1,0,149.5,55
77,6,127,1.68,2,303,0,0,1,0,0,1,0,0,103.75,499
78,3,1,0.02,1,0,0,1,0,0,0,1,0,0,87.6,173
79,1,299,5.04,2,232,0,0,1,0,0,1,0,0,96.1,260
80,1,9,1.46,3,80,1,0,0,0,0,0,1,0,80.0,125
81,5,1,0.31,1,45,0,1,0,0,0,1,0,0,340.75,121
82,2,31,0.44,2,20,0,1,0,0,0,0,1,0,89.0,70
83,1,16,0.65,1,0,0,0,0,1,0,0,1,0,114.6,40
84,1,1,0.02,1,0,0,1,0,0,0,0,1,0,141.07947981342477,55
85,2,18,1.96,6,344,0,0,0,1,0,0,0,1,222.33333333333334,39
86,1,0,0.0,1,0,0,0,1,0,0,1,0,0,151.66666666666666,195
87,1,64,1.81,1,322,0,0,1,0,0,0,1,0,141.07947981342477,69
88,3,12,0.65,2,0,0,1,0,0,0,0,1,0,130.5,70
89,2,23,1.23,4,0,0,0,0,1,0,0,1,0,190.7,60
90,2,24,3.79,1,0,0,0,1,0,0,1,0,0,97.5,95
91,3,1,1.0,1,353,0,0,0,1,0,1,0,0,82.6,250
92,2,41,1.56,1,308,0,0,1,0,0,0,1,0,145.71428571428572,205
93,6,23,0.3,1,0,0,0,1,0,0,1,0,0,107.6,260
94,1,2,0.32,4,253,0,0,0,1,0,0,1,0,134.25,125
95,1,3,3.0,2,359,1,0,0,0,0,0,1,0,150.1,69
96,2,8,2.0,327,247,0,0,1,0,0,1,0,0,186.5909090909091,484
97,7,0,0.0,1,0,0,0,1,0,0,0,1,0,263.3333333333333,45
98,4,0,0.0,1,9,0,1,0,0,0,1,0,0,90.0,225
99,3,0,0.0,1,1,0,0,1,0,0,1,0,0,96.14285714285714,695
100,5,2,0.32,1,0,0,0,1,0,0,0,1,0,66.33333333333333,89
101,1,35,2.4,3,32,0,0,0,1,0,0,1,0,67.4,79
102,3,3,0.2,1,18,0,1,0,0,0,0,1,0,203.0,640
103,1,17,0.44,3,0,0,1,0,0,0,0,1,0,141.07947981342477,90
104,3,5,1.17,49,230,0,0,1,0,0,1,0,0,194.30769230769232,737
105,3,74,0.87,2,365,0,0,0,1,0,1,0,0,141.07947981342477,150
106,3,1,0.02,1,0,0,0,1,0,0,1,0,0,98.5,195
107,3,33,0.39,3,301,0,0,1,0,0,0,1,0,99.28571428571429,75
108,5,5,0.07,1,358,0,0,1,0,0,1,0,0,158.0,250
109,1,68,4.89,1,63,1,0,0,0,0,0,1,0,144.57142857142858,46
110,2,7,2.1,327,294,0,0,1,0,0,1,0,0,141.07947981342477,503
111,3,101,3.43,10,83,1,0,0,0,0,0,1,0,163.25,60
112,4,42,1.85,2,77,1,0,0,0,0,0,1,0,189.71428571428572,70
113,4,18,0.23,1,280,0,0,1,0,0,0,1,0,100.52941176470588,69
114,1,7,0.19,1,0,0,0,1,0,0,1,0,0,213.8,125
115,5,57,2.83,1,179,0,1,0,0,0,1,0,0,55.0,240
116,2,3,1.58,327,341,0,0,1,0,0,1,0,0,281.6666666666667,235
117,2,0,0.0,1,0,0,0,1,0,0,0,1,0,50.8,65
118,3,1,0.03,1,0,0,0,1,0,0,0,1,0,84.0,70
119,1,0,0.0,1,0,0,0,1,0,0,0,1,0,181.71428571428572,75
120,21,11,0.27,1,177,0,0,1,0,0,0,1,0,205.2,40
121,1,41,1.1,1,69,0,1,0,0,0,1,0,0,181.0,149
122,30,12,0.38,16,339,0,0,1,0,0,1,0,0,208.34782608695653,119
123,2,149,3.98,1,0,0,0,1,0,0,0,1,0,100.8,80
124,2,10,0.54,2,0,0,1,0,0,0,1,0,0,141.07947981342477,150
125,3,250,5.36,1,111,0,0,1,0,0,0,1,0,135.0,135
126,4,33,1.2,1,346,0,0,1,0,0,1,0,0,124.22222222222223,350
127,5,165,3.63,2,261,0,1,0,0,0,0,1,0,59.0,60
128,2,8,0.22,1,0,0,0,1,0,0,0,1,0,305.0,79
129,2,4,0.39,2,12,0,1,0,0,0,1,0,0,203.33333333333334,250
130,30,1,0.14,8,163,0,0,0,1,0,0,1,0,141.07947981342477,45
131,3,7,1.96,1,117,0,1,0,0,0,1,0,0,110.22222222222223,135
132,2,11,3.93,1,217,0,1,0,0,0,1,0,0,192.47058823529412,150
133,4,5,0.49,1,1,0,0,1,0,0,1,0,0,68.71428571428571,120
134,4,4,0.22,1,0,0,0,1,0,0,0,1,0,102.0,60
135,4,0,0.0,1,89,0,0,1,0,0,1,0,0,75.0,175
136,5,26,0.93,4,325,0,1,0,0,0,0,1,0,41.666666666666664,59
137,3,6,0.48,1,4,0,0,1,0,0,1,0,0,133.75,150
138,7,10,10.0,1,0,0,0,1,0,0,1,0,0,208.52380952380952,106
139,3,8,0.34,2,0,0,0,1,0,0,1,0,0,250.57142857142858,149
140,7,46,0.57,1,0,0,0,1,0,0,0,1,0,66.66666666666667,95
141,7,0,0.0,1,295,0,0,1,0,0,1,0,0,181.47619047619048,195
142,5,0,0.0,1,0,0,0,1,0,0,0,1,0,274.0,35
143,1,0,0.0,1,0,0,0,1,0,0,0,1,0,274.0,200
144,1,0,0.0,1,71,1,0,0,0,0,0,0,1,70.66666666666667,36
145,1,0,0.0,1,180,1,0,0,0,0,0,1,0,181.47619047619048,10
146,2,0,0.0,1,0,0,1,0,0,0,0,1,0,78.33333333333333,50
147,1,0,0.0,1,0,0,0,1,0,0,1,0,0,77.5,127
148,3,6,0.17,1,0,0,1,0,0,0,1,0,0,131.75,80
149,3,7,0.15,1,0,0,1,0,0,0,0,1,0,218.66666666666666,60
150,1,4,0.35,1,156,0,1,0,0,0,0,1,0,137.0,55
151,3,3,0.21,1,128,0,0,1,0,0,1,0,0,84.27272727272727,130
152,1,1,0.02,1,0,0,1,0,0,0,1,0,0,196.77272727272728,125
153,1,1,0.6,3,0,0,1,0,0,0,0,1,0,182.30769230769232,85
154,1,3,0.12,2,90,0,0,1,0,0,1,0,0,154.66666666666666,1000
155,2,18,0.42,1,0,0,1,0,0,0,1,0,0,130.45454545454547,135
156,5,37,1.57,1,211,0,1,0,0,0,1,0,0,54.4,214
157,5,1,0.03,1,0,0,1,0,0,0,0,1,0,205.16666666666666,60
158,2,24,2.32,2,347,0,1,0,0,0,0,1,0,141.07947981342477,55
159,1,92,2.75,1,316,0,0,0,1,0,1,0,0,213.9375,105
160,30,0,0.0,25,341,0,1,0,0,0,0,1,0,71.5,48
161,3,29,1.3,1,63,0,1,0,0,0,0,1,0,141.07947981342477,59
162,1,1,0.02,1,0,0,1,0,0,0,0,1,0,379.75,60
163,7,0,0.0,1,0,0,0,1,0,0,1,0,0,80.0,250
164,1,127,4.45,1,134,1,0,0,0,0,0,1,0,141.07947981342477,75
165,1,73,2.61,3,364,0,1,0,0,0,0,1,0,126.76923076923077,71
166,2,16,1.21,1,358,0,1,0,0,0,1,0,0,141.07947981342477,135
167,1,54,3.38,2,338,0,0,0,1,0,1,0,0,47.666666666666664,200
168,60,0,0.0,1,0,0,0,1,0,0,0,1,0,81.125,150
169,3,30,1.88,1,122,0,1,0,0,0,1,0,0,127.66666666666667,140
170,1,1,0.02,1,0,0,0,1,0,0,0,0,1,94.66666666666667,65
171,14,6,0.41,2,14,0,0,1,0,0,0,1,0,108.9090909090909,75
172,1,37,3.85,3,0,0,0,0,1,0,0,1,0,144.2,120
173,14,7,0.15,1,21,0,0,1,0,0,1,0,0,95.5,67
174,4,2,0.76,1,0,0,1,0,0,0,0,1,0,141.07947981342477,105
175,10,9,0.1,1,0,0,0,1,0,0,1,0,0,144.57142857142858,80
176,1,3,0.4,1,0,0,1,0,0,0,1,0,0,253.7,105
177,2,43,0.94,2,283,0,1,0,0,0,0,1,0,182.11111111111111,49
178,1,0,0.0,1,0,0,0,1,0,0,0,1,0,163.57142857142858,300
179,30,0,0.0,232,340,0,0,1,0,0,1,0,0,141.07947981342477,267
180,7,5,1.95,13,247,0,1,0,0,0,0,1,0,213.8,40
181,7,0,0.0,1,0,0,1,0,0,0,0,1,0,115.85714285714286,50
182,2,25,0.41,1,0,0,0,1,0,0,1,0,0,141.07947981342477,165
183,30,0,0.0,5,221,0,1,0,0,0,0,1,0,151.66666666666666,43
184,1,114,4.97,1,255,0,1,0,0,0,1,0,0,91.33333333333333,99
185,2,36,0.74,1,365,0,0,0,1,0,0,1,0,73.77777777777777,113
186,1,1,0.05,1,0,0,0,1,0,0,1,0,0,127.66666666666667,80
187,2,0,0.0,1,171,0,1,0,0,0,1,0,0,197.21428571428572,160
188,1,0,0.0,1,89,0,1,0,0,0,0,1,0,95.125,250
189,30,44,0.92,5,188,0,0,1,0,0,0,1,0,190.0,167
190,4,0,0.0,1,49,0,1,0,0,0,0,1,0,137.3846153846154,120
191,2,4,0.19,1,175,0,0,0,1,0,0,1,0,152.43478260869566,38
192,5,56,3.32,1,18,0,1,0,0,0,1,0,0,141.07947981342477,128
193,2,84,1.51,1,178,0,0,0,1,0,1,0,0,134.33333333333334,170
194,30,2,0.1,6,365,0,0,0,1,0,0,0,1,65.5,55
195,4,40,3.36,2,164,0,0,1,0,0,0,1,0,168.0,100
196,1,4,0.61,30,363,0,0,1,0,0,0,1,0,199.78947368421052,199
197,4,0,0.0,1,0,0,1,0,0,0,0,0,1,139.0,40
198,1,2,1.15,20,352,0,0,1,0,0,0,1,0,177.5,199
199,3,0,0.0,2,350,0,1,0,0,0,0,1,0,141.07947981342477,80
200,3,0,0.0,1,0,0,1,0,0,0,1,0,0,85.0,180
201,4,13,0.29,1,0,0,1,0,0,0,1,0,0,98.53846153846153,119
202,5,21,1.1,1,83,0,0,1,0,0,1,0,0,170.0,90
203,2,22,2.59,1,292,0,1,0,0,0,0,1,0,118.53846153846153,100
204,2,12,0.43,3,279,0,0,0,0,1,0,1,0,186.66666666666666,89
205,1,7,0.19,2,0,0,0,1,0,0,0,1,0,178.64705882352942,70
206,3,14,1.88,2,0,0,1,0,0,0,1,0,0,232.5,149
207,4,1,0.11,2,1,0,0,0,1,0,0,0,1,308.6,65
208,4,7,0.12,1,62,0,1,0,0,0,1,0,0,111.125,380
209,2,11,5.79,1,194,0,0,1,0,0,1,0,0,212.92307692307693,299
210,1,4,1.5,20,168,0,0,1,0,0,0,1,0,141.07947981342477,99
211,30,0,0.0,1,0,0,0,1,0,0,1,0,0,189.71428571428572,105
212,2,2,2.0,1,21,0,0,0,1,0,1,0,0,144.27272727272728,110
213,4,0,0.0,1,0,0,0,1,0,0,0,1,0,183.06666666666666,99
214,2,71,3.17,2,15,0,1,0,0,0,0,1,0,104.8,33
215,2,183,3.03,3,154,0,1,0,0,0,0,1,0,119.9,75
216,2,240,3.49,1,152,0,0,1,0,0,1,0,0,124.28571428571429,199
217,3,1,0.05,1,0,0,1,0,0,0,1,0,0,305.55555555555554,165
218,5,0,0.0,1,0,0,1,0,0,0,0,1,0,178.23076923076923,90
219,2,22,1.94,1,0,0,0,1,0,0,1,0,0,130.375,69
220,3,30,0.66,1,87,0,0,1,0,0,1,0,0,86.0,300
221,1,0,0.0,1,0,0,0,1,0,0,1,0,0,165.48,210
222,2,0,0.0,1,321,0,0,0,1,0,1,0,0,48.0,450
223,3,17,3.31,2,38,0,0,1,0,0,0,1,0,160.0,54
224,1,8,0.57,17,239,0,0,1,0,0,1,0,0,144.875,163
225,4,0,0.0,2,365,0,0,1,0,0,0,1,0,168.3,90
226,3,3,3.0,1,351,0,1,0,0,0,1,0,0,287.3333333333333,275
227,5,1,0.02,1,0,0,0,1,0,0,1,0,0,199.0,700
228,1,1,1.0,1,331,0,0,0,1,0,1,0,0,221.0,120
229,1,104,3.3,1,81,0,0,1,0,0,1,0,0,185.30232558139534,95
230,7,2,0.06,1,0,0,1,0,0,0,1,0,0,71.0,150
231,1,0,0.0,1,5,0,0,0,1,0,0,1,0,67.66666666666667,70
232,7,4,0.1,1,0,0,1,0,0,0,1,0,0,110.0,160
233,4,10,0.17,1,0,0,0,1,0,0,1,0,0,262.72727272727275,349
234,5,39,2.68,1,90,0,0,1,0,0,1,0,0,141.07947981342477,175
235,2,104,3.69,1,268,0,1,0,0,0,1,0,0,204.16666666666666,125
236,1,0,0.0,1,0,0,1,0,0,0,1,0,0,141.07947981342477,100
237,1,11,2.31,1,89,0,0,1,0,0,1,0,0,86.6,90
238,1,10,0.29,2,281,0,1,0,0,0,0,1,0,82.0,70
239,3,20,0.38,3,350,0,0,1,0,0,1,0,0,199.5,540
240,2,17,2.48,2,21,0,1,0,0,0,0,1,0,271.0,65
241,3,0,0.0,1,28,0,1,0,0,0,1,0,0,101.875,200
242,30,2,0.1,1,0,0,0,1,0,0,0,1,0,436.27272727272725,75
243,2,3,0.1,1,83,0,1,0,0,0,0,1,0,178.64705882352942,85
244,3,0,0.0,1,0,0,0,1,0,0,1,0,0,85.77777777777777,320
245,3,0,0.0,1,38,0,0,1,0,0,1,0,0,188.0,130
246,2,2,0.03,1,0,0,1,0,0,0,1,0,0,163.6,180
247,1,8,0.63,2,208,0,0,1,0,0,0,1,0,53.666666666666664,90
248,14,1,0.13,1,49,0,1,0,0,0,0,1,0,55.0,66
249,2,82,2.79,3,35,0,1,0,0,0,0,1,0,105.27272727272727,50
250,2,84,2.39,1,211,0,1,0,0,0,1,0,0,150.57142857142858,84
251,3,37,4.1,2,7,0,0,0,1,0,1,0,0,103.88888888888889,150
252,1,3,2.57,1,71,0,0,1,0,0,0,1,0,136.0,70
253,1,1,0.02,2,0,0,0,1,0,0,0,1,0,188.42857142857142,89
254,7,7,0.3,1,0,0,1,0,0,0,1,0,0,115.0,99
255,2,0,0.0,1,37,0,0,1,0,0,1,0,0,289.8333333333333,89
256,30,19,0.23,1,259,0,0,1,0,0,1,0,0,191.125,165
257,1,2,2.0,1,148,0,0,0,1,0,1,0,0,130.2,130
258,2,1,1.0,2,0,0,1,0,0,0,0,1,0,152.10526315789474,50
259,1,9,0.4,6,180,0,1,0,0,0,0,0,1,141.07947981342477,79
260,1,0,0.0,3,158,0,0,1,0,0,1,0,0,174.83333333333334,200
261,2,102,3.84,1,213,0,0,1,0,0,0,1,0,92.44444444444444,100
262,2,55,1.68,1,26,0,0,1,0,0,0,1,0,82.11111111111111,49
263,8,0,0.0,1,177,0,0,1,0,0,0,1,0,133.46153846153845,55
264,1,3,2.5,1,0,0,0,1,0,0,0,1,0,129.54545454545453,80
265,30,1,0.1,91,0,0,0,1,0,0,1,0,0,70.0,199
266,1,0,0.0,10,0,0,1,0,0,0,0,1,0,231.66666666666666,60
267,3,3,0.4,1,5,0,1,0,0,0,0,1,0,330.5,90
268,4,1,0.37,3,173,0,1,0,0,0,1,0,0,100.0,200
269,1,14,5.32,4,78,0,1,0,0,0,0,1,0,136.07692307692307,70
270,1,2,0.75,17,49,0,1,0,0,0,0,0,1,326.6,35
271,2,2,0.06,1,64,0,1,0,0,0,1,0,0,173.23809523809524,170
272,4,51,0.62,1,172,0,0,1,0,0,1,0,0,260.625,225
273,7,2,0.04,1,157,0,0,0,1,0,1,0,0,98.66666666666667,135
274,1,29,4.86,1,148,0,0,0,1,0,1,0,0,141.07947981342477,200
275,2,21,1.94,5,125,0,0,0,1,0,0,1,0,105.13333333333334,57
276,3,16,0.37,1,0,0,0,1,0,0,1,0,0,177.72727272727272,152
277,4,7,0.46,4,63,0,0,1,0,0,1,0,0,75.6,495
278,1,10,0.29,1,162,0,1,0,0,0,0,1,0,230.83333333333334,75
279,2,116,3.78,2,230,0,1,0,0,0,1,0,0,87.42857142857143,199
280,3,15,0.25,1,204,0,1,0,0,0,1,0,0,108.9,129
281,2,20,0.99,1,29,0,0,1,0,0,1,0,0,141.07947981342477,140
282,5,0,0.0,1,0,0,0,1,0,0,0,1,0,125.0,99
283,4,0,0.0,1,0,0,1,0,0,0,1,0,0,251.33333333333334,115
284,2,9,1.61,2,281,0,1,0,0,0,1,0,0,141.07947981342477,172
285,2,19,0.34,1,0,0,0,1,0,0,1,0,0,115.0,325
286,15,0,0.0,1,0,0,1,0,0,0,0,1,0,141.07947981342477,40
287,1,0,0.0,1,0,0,0,1,0,0,1,0,0,145.66666666666666,202
288,30,9,0.18,34,342,0,0,1,0,0,1,0,0,81.16666666666667,185
289,3,18,2.19,1,307,0,1,0,0,0,1,0,0,119.13636363636364,135
290,1,20,4.23,1,81,0,0,1,0,0,1,0,0,141.07947981342477,99
291,2,66,2.39,3,27,0,0,1,0,0,0,1,0,113.25,100
292,30,0,0.0,1,235,0,1,0,0,0,1,0,0,214.76470588235293,100
293,7,3,0.11,1,0,0,0,1,0,0,1,0,0,141.07947981342477,110
294,29,0,0.0,327,365,0,0,1,0,0,1,0,0,102.5,227
295,3,7,1.72,1,4,0,1,0,0,0,1,0,0,215.57142857142858,102
296,1,0,0.0,8,0,0,0,1,0,0,0,1,0,219.8,250
297,5,26,0.77,1,269,0,1,0,0,0,1,0,0,68.0,105
298,30,21,0.4,1,219,0,1,0,0,0,1,0,0,79.75,120
299,7,0,0.0,1,10,0,0,1,0,0,1,0,0,209.28571428571428,250
300,7,28,0.92,1,285,0,0,1,0,0,1,0,0,107.0,195
301,1,46,5.59,4,20,0,0,1,0,0,0,1,0,125.0,85
302,30,0,0.0,4,339,0,0,1,0,0,1,0,0,95.77777777777777,105
303,2,11,1.07,4,4,0,0,1,0,0,0,1,0,141.07947981342477,70
304,1,7,0.93,1,0,0,1,0,0,0,1,0,0,185.0,70
305,4,1,0.05,1,0,0,1,0,0,0,1,0,0,141.07947981342477,74
306,1,3,3.0,1,70,0,0,0,1,0,0,1,0,123.0,34
307,5,0,0.0,1,0,0,0,1,0,0,1,0,0,70.0,400
308,14,75,2.18,1,34,0,0,1,0,0,1,0,0,181.72727272727272,155
309,3,4,3.53,1,63,0,1,0,0,0,0,1,0,69.5,90
310,3,118,2.84,5,326,0,1,0,0,0,0,1,0,199.78947368421052,60
311,1,6,0.33,1,0,0,0,1,0,0,0,1,0,216.5,65
312,1,47,1.92,1,21,0,1,0,0,0,0,1,0,173.23809523809524,62
313,1,29,2.57,3,333,0,0,0,1,0,0,1,0,108.33333333333333,65
314,4,5,0.63,1,10,0,1,0,0,0,1,0,0,87.9,130
315,30,1,0.79,32,335,0,0,1,0,0,0,1,0,135.0,60
316,2,4,0.16,1,0,0,0,1,0,0,1,0,0,168.0,195
317,23,8,0.7,2,35,0,0,1,0,0,0,1,0,116.75,54
318,4,2,0.39,1,0,0,1,0,0,0,1,0,0,168.75,120
319,3,78,2.93,1,246,0,0,1,0,0,0,1,0,170.46666666666667,250
320,1,46,5.04,2,52,0,1,0,0,0,0,1,0,66.75,76
321,12,11,0.39,1,0,0,0,1,0,0,1,0,0,147.6,110
322,3,30,2.64,3,20,0,0,1,0,0,0,1,0,168.33333333333334,150
323,3,1,0.04,1,0,0,0,1,0,0,1,0,0,331.08,127
324,30,8,0.42,3,204,0,0,1,0,0,0,1,0,141.07947981342477,40
325,2,27,0.76,1,0,0,0,1,0,0,1,0,0,90.0,100
326,20,2,0.1,1,0,0,0,0,1,0,1,0,0,174.89473684210526,110
327,1,9,0.46,17,364,0,1,0,0,0,0,1,0,104.0,119
328,1,2,0.59,1,89,0,1,0,0,0,0,1,0,226.15384615384616,120
329,31,4,0.28,11,93,0,0,1,0,0,1,0,0,166.66666666666666,138
330,2,6,4.74,4,316,0,1,0,0,0,0,1,0,138.0,72
331,2,6,2.25,4,360,0,1,0,0,0,0,1,0,141.07947981342477,90
332,30,40,0.8,11,331,0,1,0,0,0,0,1,0,229.44444444444446,95
333,4,6,0.24,1,1,0,1,0,0,0,1,0,0,150.6,88
334,2,66,1.94,1,89,0,0,1,0,0,0,1,0,209.31578947368422,250
335,4,8,0.17,1,0,0,0,1,0,0,1,0,0,299.35483870967744,159
336,6,2,0.25,1,0,0,0,1,0,0,1,0,0,145.73333333333332,260
337,4,3,1.64,1,145,0,1,0,0,0,1,0,0,109.28571428571429,125
338,5,49,1.26,1,314,0,0,1,0,0,1,0,0,80.4,525
339,2,27,0.78,1,339,0,1,0,0,0,0,1,0,136.35294117647058,45
340,1,7,5.12,5,185,0,0,1,0,0,0,1,0,194.72222222222223,150
341,2,156,3.9,1,197,0,0,1,0,0,0,1,0,58.5,100
342,2,6,1.8,327,323,0,0,1,0,0,1,0,0,139.0,396
343,1,39,8.48,1,64,0,0,1,0,0,1,0,0,165.28571428571428,170
344,10,7,0.14,1,281,0,1,0,0,0,0,1,0,128.33333333333334,49
345,30,11,0.18,1,273,0,0,1,0,0,1,0,0,155.16666666666666,465
346,30,5,2.08,1,239,0,0,1,0,0,1,0,0,141.07947981342477,195
347,14,0,0.0,28,321,0,0,1,0,0,0,0,1,172.5,35
348,31,188,1.94,1,259,0,0,1,0,0,1,0,0,71.45454545454545,250
349,4,9,0.65,1,364,0,0,1,0,0,1,0,0,163.88235294117646,225
350,3,1,0.2,1,214,0,0,1,0,0,1,0,0,170.46666666666667,135
351,15,1,0.03,3,159,0,0,1,0,0,0,1,0,173.23809523809524,60
352,2,267,4.2,1,18,0,0,1,0,0,0,1,0,148.05882352941177,95
353,2,0,0.0,1,0,0,0,1,0,0,1,0,0,65.0,325
354,30,7,0.16,1,0,0,1,0,0,0,1,0,0,145.73333333333332,99
355,3,1,0.04,1,0,0,1,0,0,0,0,1,0,89.8,41
356,1,17,0.31,1,362,0,1,0,0,0,1,0,0,268.4,227
